frame,label,confidence,x,y,time
21,moc4,0.459,346,416,2025-10-31T15:34:57.744901+00:00
22,moc1,0.8267,818,662,2025-10-31T15:34:57.776558+00:00
22,moc3,0.8198,126,666,2025-10-31T15:34:57.776558+00:00
22,songoku,0.8159,449,395,2025-10-31T15:34:57.786747+00:00
22,moc2,0.7349,693,399,2025-10-31T15:34:57.786747+00:00
22,dog,0.5796,363,540,2025-10-31T15:34:57.786747+00:00
22,moc4,0.3701,345,419,2025-10-31T15:34:57.786747+00:00
23,moc1,0.8174,817,663,2025-10-31T15:34:57.818249+00:00
23,songoku,0.8145,449,394,2025-10-31T15:34:57.820253+00:00
23,moc3,0.7944,126,666,2025-10-31T15:34:57.820253+00:00
23,moc2,0.7549,692,398,2025-10-31T15:34:57.820253+00:00
23,dog,0.5469,362,539,2025-10-31T15:34:57.820253+00:00
24,moc1,0.8301,817,662,2025-10-31T15:34:57.840341+00:00
24,songoku,0.8145,450,394,2025-10-31T15:34:57.840341+00:00
24,moc3,0.8081,126,667,2025-10-31T15:34:57.840341+00:00
24,moc2,0.7534,692,399,2025-10-31T15:34:57.856161+00:00
24,dog,0.5176,362,541,2025-10-31T15:34:57.856161+00:00
25,moc1,0.8599,817,662,2025-10-31T15:34:57.887920+00:00
25,songoku,0.8062,450,395,2025-10-31T15:34:57.887920+00:00
25,moc3,0.793,127,667,2025-10-31T15:34:57.887920+00:00
25,moc2,0.7744,692,399,2025-10-31T15:34:57.887920+00:00
25,dog,0.5928,362,540,2025-10-31T15:34:57.887920+00:00
26,moc1,0.8511,817,662,2025-10-31T15:34:57.919858+00:00
26,moc3,0.7852,127,667,2025-10-31T15:34:57.919858+00:00
26,songoku,0.771,449,394,2025-10-31T15:34:57.919858+00:00
26,moc2,0.7349,692,400,2025-10-31T15:34:57.919858+00:00
26,dog,0.5098,362,541,2025-10-31T15:34:57.919858+00:00
27,moc1,0.8291,817,663,2025-10-31T15:34:57.951008+00:00
